Gm15701	ENSMUSG00000086656.1		OTTMUSG00000025423.1
D130062J10Rik	ENSMUSG00000114598.1		OTTMUSG00000067755.1
Gm28098	ENSMUSG00000099929.1		OTTMUSG00000046140.1
Tmem63c	ENSMUSG00000034145.14		OTTMUSG00000025864.4
Vmn2r-ps85	ENSMUSG00000092587.1		OTTMUSG00000037754.1
Gm15867	ENSMUSG00000089812.2		OTTMUSG00000027054.3
Ambra1	ENSMUSG00000040506.16		OTTMUSG00000014330.2
Gm26504	ENSMUSG00000096019.1		
Serpinf1	ENSMUSG00000000753.15		OTTMUSG00000006203.15
Mir7223	ENSMUSG00000098989.1		
Psmb5	ENSMUSG00000022193.7		OTTMUSG00000069490.1
Vmn1r77	ENSMUSG00000095864.2		OTTMUSG00000038251.3
Vmn1r177	ENSMUSG00000057513.3		OTTMUSG00000038011.2
Gm37751	ENSMUSG00000103386.1		OTTMUSG00000050585.1
Gm8569	ENSMUSG00000082584.1		OTTMUSG00000019280.1
Gm48649	ENSMUSG00000113466.1		OTTMUSG00000066805.1
2310065F04Rik	ENSMUSG00000087410.7		OTTMUSG00000005923.1
Cpm	ENSMUSG00000020183.11		OTTMUSG00000031908.1
Gm25053	ENSMUSG00000106585.1		
Gm16062	ENSMUSG00000087249.1		OTTMUSG00000029633.1
Adcy4	ENSMUSG00000022220.14		OTTMUSG00000069732.1
